sample_id,pixelsilicon_psnr,bicubic_psnr,psnr_improvement,pixelsilicon_ssim,bicubic_ssim,ssim_improvement
000247,26.5671,19.8515,6.7156,0.9049,0.1768,0.7281
001116,28.1736,24.6716,3.5021,0.8674,0.7489,0.1185
002031,29.3894,20.0912,9.2981,0.7507,0.2351,0.5156
002535,18.2283,17.3027,0.9256,0.4927,0.5088,-0.0161
000365,28.8359,27.4465,1.3894,0.8433,0.7839,0.0594
001765,28.2966,21.0291,7.2675,0.4515,0.2232,0.2284
002265,25.3542,24.0173,1.3369,0.8852,0.8008,0.0844
002203,25.9801,23.7165,2.2636,0.7728,0.7085,0.0643
000322,27.7847,24.7071,3.0776,0.8171,0.7230,0.0941
001115,31.5343,24.5516,6.9827,0.8704,0.5640,0.3064
003129,30.8040,20.3273,10.4768,0.6218,0.1650,0.4568
002446,29.6171,21.1875,8.4296,0.7788,0.3356,0.4432
003038,28.1507,26.4443,1.7064,0.9023,0.8587,0.0436
001139,26.8387,21.1882,5.6505,0.7960,0.4934,0.3026
002619,26.7292,23.6836,3.0457,0.8132,0.7856,0.0275
003158,27.4272,20.9701,6.4571,0.4171,0.2312,0.1859
001814,24.1252,21.9139,2.2113,0.8333,0.7623,0.0710
002633,23.3886,21.9306,1.4580,0.3523,0.3961,-0.0439
000328,30.7165,20.2759,10.4406,0.6982,0.2057,0.4926
000300,26.3820,25.6909,0.6911,0.4142,0.4163,-0.0021
002555,29.6582,23.7139,5.9443,0.6318,0.4662,0.1655
000884,35.2156,32.7735,2.4420,0.8323,0.7438,0.0885
001496,30.1512,22.6683,7.4829,0.8845,0.4381,0.4463
000390,32.4015,31.5417,0.8598,0.9259,0.8644,0.0615
001891,33.1950,22.4352,10.7598,0.8811,0.4072,0.4739
002361,24.5437,22.8351,1.7086,0.8067,0.7325,0.0742
002946,24.0587,22.7713,1.2874,0.7026,0.7219,-0.0193
001228,36.1047,30.8731,5.2316,0.8838,0.6857,0.1980
003030,24.0216,23.6569,0.3647,0.7836,0.7914,-0.0078
002565,24.1663,21.0988,3.0675,0.3909,0.4398,-0.0488
000385,22.0300,20.9672,1.0627,0.4093,0.4348,-0.0255
000315,34.8780,21.9113,12.9667,0.8590,0.2332,0.6258
003011,24.0692,21.4512,2.6180,0.4191,0.4824,-0.0632
001177,24.8275,23.2181,1.6093,0.8105,0.6960,0.1145
000788,31.9513,21.0064,10.9449,0.7896,0.2742,0.5153
002949,23.7366,20.0530,3.6836,0.3481,0.3101,0.0380
002232,29.8827,19.4323,10.4504,0.7713,0.2279,0.5435
002523,31.5759,22.6226,8.9533,0.6350,0.2783,0.3567
002134,21.9246,20.9864,0.9381,0.6638,0.6812,-0.0174
002029,28.1739,19.5011,8.6728,0.7110,0.2630,0.4480
002441,29.3102,26.0645,3.2457,0.8693,0.7729,0.0965
001050,29.2133,19.3001,9.9132,0.7035,0.2153,0.4882
001957,29.9462,22.6138,7.3323,0.5902,0.3083,0.2819
001267,32.7370,24.5870,8.1500,0.8649,0.6457,0.2193
003098,25.0531,22.8564,2.1967,0.7261,0.6478,0.0783
000399,21.2236,18.0740,3.1496,0.1928,0.2278,-0.0349
002731,33.0687,21.1134,11.9553,0.9163,0.2037,0.7126
002293,24.7934,23.4544,1.3390,0.7908,0.7299,0.0609
002507,38.4426,24.3423,14.1002,0.9470,0.5684,0.3786
001699,25.8148,24.0659,1.7488,0.4791,0.4518,0.0273
001781,25.3111,19.9064,5.4047,0.3050,0.2274,0.0776
002887,27.3774,24.3081,3.0692,0.7508,0.6339,0.1169
002542,19.2328,17.9465,1.2863,0.8670,0.8267,0.0403
001757,33.5349,25.8623,7.6726,0.8743,0.5557,0.3186
000154,29.6879,21.2542,8.4337,0.7146,0.2859,0.4287
001030,31.3837,20.2443,11.1393,0.8274,0.1959,0.6315
003062,29.6760,21.1851,8.4909,0.8792,0.4782,0.4010
000104,26.9187,20.6039,6.3148,0.7659,0.4388,0.3271
000860,29.6942,26.1128,3.5813,0.8855,0.8171,0.0684
002838,35.3067,22.0928,13.2139,0.9275,0.2843,0.6432
000713,32.6212,26.8698,5.7514,0.8945,0.7634,0.1311
000118,26.1550,24.0435,2.1115,0.6710,0.6551,0.0159
002856,27.7090,25.0464,2.6626,0.7821,0.5839,0.1982
002811,29.6508,27.8984,1.7524,0.7040,0.6311,0.0729
000947,33.6824,24.1838,9.4986,0.9481,0.6566,0.2916
000958,10.5280,10.0502,0.4779,0.2703,0.2578,0.0125
002398,28.0932,21.0681,7.0251,0.6618,0.3407,0.3212
001725,24.4329,21.8077,2.6252,0.6784,0.6195,0.0590
000551,31.2536,30.8837,0.3699,0.9373,0.9251,0.0122
002495,21.7334,18.8128,2.9206,0.6025,0.5181,0.0844
002793,32.8788,25.3623,7.5166,0.8698,0.5900,0.2797
003138,23.9800,23.1135,0.8665,0.7267,0.7001,0.0266
002234,27.4879,20.7847,6.7032,0.7440,0.3207,0.4233
001401,34.1232,21.8047,12.3184,0.9080,0.2693,0.6387
000105,32.2683,26.5302,5.7381,0.9429,0.7914,0.1515
001377,26.0180,21.2027,4.8153,0.6868,0.4686,0.2181
000217,29.5365,24.6559,4.8807,0.8023,0.6351,0.1672
001105,27.5106,26.1895,1.3211,0.7619,0.7441,0.0178
000183,27.5335,24.6792,2.8543,0.7421,0.6635,0.0787
001252,26.3819,24.6647,1.7173,0.7122,0.6583,0.0539
002564,25.9714,22.1425,3.8290,0.4502,0.3556,0.0946
000790,36.4231,25.6898,10.7334,0.9451,0.7090,0.2361
002464,32.4344,22.8524,9.5819,0.6902,0.3106,0.3796
002139,27.1647,22.4303,4.7344,0.8182,0.6570,0.1613
001650,30.7989,26.7359,4.0631,0.8225,0.6301,0.1924
000004,21.1155,19.6497,1.4659,0.5826,0.5445,0.0381
000631,26.0474,21.5434,4.5040,0.3381,0.2812,0.0569
001364,22.8472,21.4719,1.3753,0.7777,0.7063,0.0715
000890,35.6880,20.4749,15.2131,0.9274,0.2220,0.7054
001419,26.7451,24.6552,2.0899,0.7655,0.6617,0.1038
000292,31.9174,28.8770,3.0404,0.9395,0.8450,0.0945
002368,28.0240,22.6309,5.3931,0.8062,0.5481,0.2581
001132,19.9697,18.2911,1.6786,0.7350,0.6155,0.1196
002799,28.9839,22.3030,6.6809,0.5087,0.2752,0.2335
002762,30.1024,20.7933,9.3091,0.9071,0.1810,0.7261
001044,24.7629,22.7990,1.9639,0.7657,0.6440,0.1217
000848,26.7966,20.5912,6.2054,0.6781,0.4516,0.2265
000808,32.8519,31.0280,1.8238,0.9011,0.8530,0.0481
000642,20.1290,18.8386,1.2904,0.2581,0.4265,-0.1684
002579,28.7879,20.1637,8.6242,0.8258,0.3126,0.5132
000729,28.2813,21.0089,7.2724,0.7434,0.4249,0.3185
002181,28.6054,22.2919,6.3135,0.8333,0.5094,0.3239
000693,33.4653,30.5111,2.9542,0.9155,0.8344,0.0810
001396,26.2793,20.0778,6.2015,0.7290,0.4091,0.3199
001459,23.3675,21.4431,1.9244,0.7552,0.6682,0.0869
000670,27.4853,22.1270,5.3583,0.6870,0.4915,0.1955
001057,21.6305,19.4619,2.1686,0.6205,0.5856,0.0349
002402,21.2221,19.3668,1.8553,0.5880,0.5801,0.0079
000461,35.5158,22.5847,12.9311,0.9417,0.3871,0.5545
003181,25.0778,20.4228,4.6550,0.3227,0.2481,0.0745
001122,24.4322,23.0719,1.3603,0.7954,0.7438,0.0516
002821,25.9057,24.3102,1.5955,0.6441,0.6006,0.0435
002835,24.8541,23.5904,1.2637,0.8364,0.7939,0.0425
000859,31.2013,23.0389,8.1624,0.7481,0.3558,0.3923
002434,26.8136,23.8013,3.0122,0.7092,0.6094,0.0998
001130,33.2398,25.4078,7.8320,0.9000,0.5216,0.3784
001584,20.6480,19.4705,1.1775,0.5867,0.6155,-0.0287
002140,28.3009,24.7908,3.5101,0.7750,0.6472,0.1277
002280,31.2286,24.5583,6.6703,0.9105,0.6642,0.2464
000514,17.8840,16.7621,1.1219,0.5833,0.5728,0.0105
000040,24.8699,21.2571,3.6128,0.7617,0.5889,0.1728
000228,18.0311,17.6185,0.4126,0.7449,0.7373,0.0076
001293,29.0445,27.1366,1.9079,0.7711,0.6731,0.0979
002077,25.5080,24.3341,1.1740,0.8692,0.8490,0.0202
000371,24.0223,21.3851,2.6372,0.6291,0.5934,0.0357
000311,26.5682,24.0126,2.5555,0.6500,0.6213,0.0286
002840,26.0583,22.8754,3.1829,0.6782,0.5803,0.0980
000480,23.9465,23.3354,0.6110,0.7691,0.7731,-0.0040
000479,24.5432,20.5248,4.0183,0.3412,0.2986,0.0426
000979,33.1975,20.5017,12.6958,0.9806,0.1942,0.7864
000396,24.9405,23.8018,1.1387,0.7325,0.7386,-0.0061
002502,25.2956,23.5735,1.7220,0.6136,0.6269,-0.0133
000627,10.5900,10.1249,0.4650,0.2762,0.2645,0.0118
000563,22.7874,20.1451,2.6422,0.5508,0.4334,0.1174
000085,20.1420,17.9237,2.2183,0.7274,0.4768,0.2507
001065,32.1694,22.7059,9.4635,0.7350,0.2802,0.4548
000726,22.8589,22.3793,0.4796,0.7012,0.7007,0.0005
001473,29.8722,21.4469,8.4253,0.5556,0.2307,0.3249
001743,30.2103,26.9486,3.2617,0.8713,0.8367,0.0346
001793,22.8513,18.4145,4.4368,0.5908,0.3329,0.2579
002322,25.4327,22.3530,3.0797,0.7645,0.6296,0.1349
001707,35.0771,23.0564,12.0207,0.9191,0.3419,0.5772
000999,30.3670,25.1485,5.2186,0.8818,0.7255,0.1563
001931,24.3019,22.5358,1.7661,0.6915,0.6639,0.0277
000820,21.1878,20.0750,1.1128,0.6374,0.7022,-0.0648
002595,33.6705,24.3724,9.2981,0.8000,0.3368,0.4631
002242,26.6683,22.0001,4.6682,0.3881,0.3575,0.0306
002466,26.4452,23.3294,3.1157,0.7806,0.6847,0.0959
002289,29.0575,23.1049,5.9526,0.8453,0.6139,0.2314
000647,24.8022,19.9573,4.8449,0.5999,0.4031,0.1968
000202,32.4694,20.8370,11.6324,0.7497,0.3002,0.4496
002927,21.9745,18.9913,2.9833,0.2174,0.2025,0.0149
002748,30.0451,25.2633,4.7818,0.8543,0.7199,0.1344
002800,21.3329,17.7339,3.5990,0.6585,0.2693,0.3892
000111,23.4065,22.7372,0.6693,0.7907,0.7684,0.0223
001133,20.6364,19.3177,1.3187,0.7421,0.6307,0.1115
001465,35.1779,23.7644,11.4135,0.9372,0.4886,0.4485
002125,20.2087,19.6663,0.5424,0.7344,0.7348,-0.0004
000022,31.4624,25.3368,6.1255,0.8740,0.4569,0.4171
000558,32.8274,20.1748,12.6526,0.9227,0.1780,0.7447
000206,21.0281,19.5628,1.4653,0.7006,0.6291,0.0715
003075,35.0167,26.8537,8.1630,0.8736,0.4219,0.4517
002961,34.1522,29.1507,5.0015,0.9288,0.7711,0.1576
001290,23.2957,22.9501,0.3456,0.7506,0.7571,-0.0065
000383,25.8113,20.9945,4.8168,0.4476,0.3031,0.1446
002932,27.9827,24.5479,3.4348,0.8263,0.6387,0.1877
003163,23.9669,20.3230,3.6439,0.7666,0.4316,0.3350
000905,23.6479,18.1079,5.5400,0.2311,0.1727,0.0584
001546,30.9278,28.3781,2.5497,0.8494,0.7520,0.0974
002615,31.3497,22.5328,8.8169,0.8606,0.4529,0.4077
001510,19.3287,18.4844,0.8443,0.5938,0.6005,-0.0068
000049,17.1728,16.1598,1.0131,0.2636,0.2793,-0.0157
002059,29.0681,25.8412,3.2269,0.8870,0.7587,0.1283
001037,24.6157,20.3285,4.2872,0.6310,0.4227,0.2083
002321,25.8253,23.4732,2.3521,0.7759,0.6761,0.0997
001038,24.8143,20.6727,4.1416,0.6229,0.4189,0.2039
001091,28.3026,22.8172,5.4855,0.8945,0.6374,0.2571
001923,23.7161,21.4922,2.2239,0.5846,0.5927,-0.0081
003052,27.1031,25.7114,1.3916,0.8208,0.7385,0.0823
002757,22.9887,20.7823,2.2064,0.2807,0.4047,-0.1241
002121,27.6469,22.5814,5.0654,0.7277,0.5424,0.1853
002975,10.6354,10.1781,0.4573,0.2772,0.2664,0.0108
001943,23.8219,23.3735,0.4484,0.7398,0.7515,-0.0118
002721,20.0799,18.8603,1.2197,0.6742,0.6170,0.0572
000814,23.5278,22.3190,1.2088,0.7262,0.7243,0.0019
001325,24.5024,23.2691,1.2332,0.8114,0.7708,0.0406
002359,41.5689,39.4214,2.1476,0.9788,0.9574,0.0214
000452,32.7919,23.8701,8.9218,0.9331,0.5344,0.3988
001907,29.3210,19.6660,9.6550,0.8262,0.2458,0.5804
001688,24.5051,20.4822,4.0229,0.5750,0.4459,0.1290
002729,33.7357,19.7441,13.9915,0.9116,0.1285,0.7831
001516,23.3756,21.3973,1.9782,0.7880,0.7052,0.0829
000614,25.1497,24.3358,0.8139,0.7890,0.7563,0.0327
002991,27.1654,23.1622,4.0032,0.5963,0.5024,0.0938
001119,29.2297,22.9794,6.2503,0.7124,0.4008,0.3115
003178,22.1841,20.5973,1.5868,0.6998,0.6352,0.0646
000317,23.6048,19.3828,4.2220,0.5982,0.2877,0.3105
001161,32.1813,22.2575,9.9238,0.8074,0.3310,0.4764
003043,25.6880,24.8770,0.8111,0.8538,0.8297,0.0241
000126,26.4494,24.6578,1.7916,0.7982,0.7908,0.0074
001977,21.5761,19.1492,2.4269,0.1653,0.2712,-0.1059
002436,22.9300,21.2786,1.6514,0.6773,0.6411,0.0362
002044,24.3024,19.9764,4.3260,0.7971,0.3778,0.4192
000580,31.1835,20.7725,10.4109,0.7037,0.2245,0.4793
002974,10.6726,10.2242,0.4484,0.2780,0.2682,0.0097
001068,31.2797,28.8794,2.4003,0.8777,0.7219,0.1558
002193,32.2877,24.9340,7.3537,0.7273,0.4329,0.2944
003049,35.0267,19.7174,15.3094,0.9508,0.1224,0.8285
001526,37.2788,27.5065,9.7723,0.9338,0.6402,0.2937
001142,28.1163,22.0312,6.0851,0.6382,0.3650,0.2732
002763,29.2624,20.5953,8.6671,0.8879,0.2221,0.6658
002256,24.8860,22.7570,2.1291,0.5986,0.5344,0.0642
000093,35.0366,30.2571,4.7794,0.8603,0.7243,0.1360
000709,37.0547,33.1386,3.9161,0.9463,0.8897,0.0566
000579,24.3308,19.2164,5.1144,0.7725,0.3236,0.4489
001870,28.9676,22.5829,6.3846,0.7960,0.4843,0.3116
000632,27.2916,21.4407,5.8509,0.7692,0.3813,0.3879
000801,31.4177,21.3735,10.0442,0.6522,0.2521,0.4001
002752,29.2372,26.0456,3.1916,0.8625,0.7540,0.1085
003112,26.7357,22.1787,4.5569,0.8549,0.3806,0.4743
001094,37.0742,30.8663,6.2080,0.9486,0.7974,0.1512
002057,28.3998,24.5771,3.8228,0.8762,0.7264,0.1498
001383,23.8241,22.6880,1.1362,0.7482,0.6989,0.0493
001301,34.4848,22.1896,12.2952,0.7955,0.2163,0.5791
000697,29.2126,18.9450,10.2676,0.7969,0.2007,0.5962
001322,35.0038,31.5338,3.4700,0.9031,0.8678,0.0353
000898,31.0139,20.7967,10.2171,0.9075,0.2944,0.6131
000171,33.6516,25.8222,7.8294,0.9050,0.4131,0.4919
000893,29.1258,22.5946,6.5311,0.8298,0.2623,0.5675
001480,24.3850,22.9930,1.3920,0.6089,0.5923,0.0166
002724,27.7031,23.6377,4.0654,0.8051,0.6774,0.1277
003079,27.9068,21.4769,6.4300,0.8240,0.5163,0.3077
001367,24.3713,21.5907,2.7806,0.8312,0.3474,0.4838
001936,27.4901,20.9197,6.5703,0.7150,0.2983,0.4166
001583,33.1757,24.8862,8.2895,0.8833,0.5520,0.3313
001448,24.9350,20.8598,4.0753,0.5355,0.4403,0.0951
001430,26.8530,21.0839,5.7690,0.8925,0.3381,0.5544
002315,26.1278,23.1911,2.9368,0.8549,0.7405,0.1144
002773,27.6629,24.1657,3.4973,0.7969,0.6678,0.1292
002083,30.5384,21.1933,9.3451,0.5749,0.1731,0.4018
001071,22.9681,21.4688,1.4993,0.7790,0.6996,0.0794
002106,30.5448,20.0426,10.5022,0.6293,0.1719,0.4573
001863,30.3612,22.1845,8.1767,0.6153,0.2953,0.3199
002063,28.5339,21.8869,6.6470,0.7145,0.3690,0.3455
001692,29.1913,24.0859,5.1053,0.8971,0.6927,0.2043
001231,28.4289,26.2417,2.1872,0.9514,0.8933,0.0582
002084,30.5517,22.3896,8.1622,0.8256,0.4366,0.3890
000602,32.8983,26.0240,6.8742,0.8902,0.7532,0.1370
002218,37.1417,35.5680,1.5737,0.9185,0.8888,0.0297
002278,28.9649,22.1283,6.8366,0.5014,0.2705,0.2310
000275,25.0038,21.7418,3.2621,0.2904,0.2982,-0.0078
003184,22.3722,21.2355,1.1367,0.7915,0.7819,0.0096
000010,24.4150,20.3330,4.0820,0.7193,0.4223,0.2970
003018,27.7398,22.0153,5.7245,0.4349,0.2604,0.1745
000753,24.5523,19.7698,4.7825,0.2709,0.1650,0.1059
001351,34.0992,21.3410,12.7582,0.8173,0.1741,0.6431
001220,31.6090,19.6024,12.0067,0.6967,0.1228,0.5739
002906,27.6264,25.5796,2.0467,0.8720,0.8166,0.0554
000656,25.3166,20.6654,4.6512,0.7228,0.4569,0.2659
001818,31.8227,25.1694,6.6533,0.8357,0.6754,0.1602
000668,30.9163,21.8959,9.0204,0.8659,0.4137,0.4522
002883,29.5209,24.3387,5.1822,0.8570,0.6470,0.2100
001988,33.0921,20.7872,12.3049,0.9621,0.1646,0.7975
001031,32.3986,21.2539,11.1447,0.8434,0.2038,0.6396
002702,34.2761,28.4699,5.8062,0.8415,0.5862,0.2552
002694,22.6126,20.3196,2.2930,0.2418,0.3236,-0.0818
002136,21.6344,19.3339,2.3005,0.6629,0.5569,0.1060
000649,25.6514,24.5814,1.0700,0.8617,0.8429,0.0188
000402,28.9295,20.5175,8.4120,0.7972,0.2142,0.5830
001237,32.3248,29.1803,3.1445,0.8985,0.8377,0.0608
000870,24.4319,20.9604,3.4716,0.2935,0.2932,0.0003
001503,29.4580,25.1639,4.2941,0.7444,0.5308,0.2136
002174,24.4802,21.9187,2.5616,0.8803,0.7250,0.1553
001505,26.4871,25.0159,1.4712,0.6744,0.6779,-0.0034
002745,30.5887,25.8990,4.6897,0.7908,0.6227,0.1681
002335,34.9306,28.5333,6.3973,0.8387,0.5158,0.3229
002765,34.7000,24.8129,9.8870,0.7929,0.3680,0.4249
000581,28.5972,25.0047,3.5926,0.8932,0.8177,0.0755
003175,29.8091,23.5558,6.2534,0.8915,0.3639,0.5276
001061,31.5693,26.2637,5.3056,0.9133,0.7320,0.1813
001160,34.4979,22.8952,11.6027,0.8619,0.3271,0.5348
001600,29.8918,27.5189,2.3729,0.6626,0.5944,0.0682
002627,25.2081,19.4571,5.7509,0.4325,0.2459,0.1866
000907,26.2964,19.6896,6.6069,0.3102,0.1805,0.1296
001253,28.5352,22.9897,5.5456,0.7455,0.4706,0.2749
000357,29.1120,27.4701,1.6419,0.7979,0.7449,0.0530
002148,34.3392,24.7654,9.5737,0.9371,0.5678,0.3692
002959,26.9566,23.6473,3.3093,0.6767,0.5977,0.0790
002929,22.0870,19.5703,2.5167,0.4976,0.4435,0.0541
000325,31.0125,28.5345,2.4780,0.9127,0.8371,0.0756
000832,26.0433,21.6730,4.3704,0.8789,0.3739,0.5050
002116,31.5170,23.2035,8.3134,0.8665,0.4539,0.4125
000924,36.6584,22.4780,14.1805,0.9689,0.3904,0.5785
001039,24.7807,20.9653,3.8154,0.6454,0.4553,0.1901
003195,27.2740,22.3297,4.9443,0.8585,0.6117,0.2468
001899,26.6942,20.8900,5.8042,0.3836,0.2313,0.1523
000108,18.5469,18.0044,0.5425,0.6406,0.6232,0.0174
002972,33.9231,28.4104,5.5127,0.9121,0.8612,0.0509
000500,25.4109,20.6414,4.7694,0.5767,0.4121,0.1646
001315,19.1391,18.1597,0.9794,0.6315,0.5777,0.0538
003005,24.4608,23.6049,0.8559,0.7894,0.7829,0.0065
000449,31.7738,26.5362,5.2376,0.8647,0.6968,0.1679
000921,25.8130,23.5418,2.2713,0.7553,0.6476,0.1077
001169,27.4392,24.2984,3.1408,0.5768,0.4953,0.0815
001221,28.0243,25.1817,2.8427,0.8284,0.7149,0.1135
000886,29.9425,27.3718,2.5706,0.8947,0.7942,0.1004
000287,31.3256,27.9418,3.3838,0.7659,0.6083,0.1576
002269,33.4961,30.1981,3.2980,0.8885,0.8119,0.0766
001779,22.3617,20.1488,2.2129,0.7694,0.6401,0.1293
001572,20.2660,19.6298,0.6362,0.6075,0.6265,-0.0190
001110,22.7555,19.6953,3.0601,0.8206,0.4971,0.3235
002299,28.2075,23.9730,4.2345,0.7552,0.5623,0.1928
000339,33.4580,26.5535,6.9045,0.8938,0.6254,0.2684
001969,29.2445,21.8897,7.3548,0.5682,0.2917,0.2765
001512,30.6641,20.9907,9.6734,0.8607,0.2034,0.6573
000186,31.1340,26.8964,4.2376,0.8901,0.7958,0.0943
000899,31.4797,21.2472,10.2325,0.9172,0.2924,0.6248
001906,29.2196,19.7556,9.4639,0.8222,0.2758,0.5465
002284,25.6606,24.4121,1.2485,0.7016,0.6569,0.0447
000207,21.5932,20.2915,1.3017,0.7283,0.6616,0.0668
000141,24.0706,21.2605,2.8101,0.8450,0.6658,0.1792
000096,20.4133,18.9443,1.4691,0.6838,0.6416,0.0421
000827,31.2385,28.8919,2.3466,0.9152,0.8496,0.0656
000316,31.9412,21.8743,10.0669,0.8565,0.1654,0.6911
001092,24.7091,21.7843,2.9248,0.8059,0.6706,0.1354
000468,20.1760,18.1871,1.9888,0.5299,0.3381,0.1918
000721,27.0675,25.0048,2.0628,0.9082,0.8571,0.0511
000332,33.0503,27.5370,5.5133,0.9385,0.7943,0.1442
002514,30.1526,27.8816,2.2710,0.8989,0.8503,0.0486
002871,33.1194,23.3141,9.8054,0.7933,0.4135,0.3797
003082,28.1561,22.2522,5.9039,0.7621,0.4239,0.3382
001554,25.6381,20.6889,4.9492,0.7166,0.4541,0.2625
001513,25.1999,24.5784,0.6215,0.7267,0.7297,-0.0030
000618,26.9785,23.1505,3.8281,0.6334,0.5010,0.1324
002587,30.4428,28.5432,1.8996,0.8844,0.8391,0.0453
003086,28.0266,27.0002,1.0264,0.8167,0.7996,0.0171
001980,28.7155,26.0828,2.6326,0.8944,0.7833,0.1111
002928,22.0516,19.3583,2.6933,0.7100,0.5520,0.1580
000605,23.3166,20.6966,2.6199,0.8490,0.5794,0.2695
001082,38.0510,23.4455,14.6055,0.9260,0.3087,0.6172
001023,26.5162,25.6240,0.8922,0.7650,0.7644,0.0007
001822,21.6045,19.5600,2.0445,0.6598,0.5765,0.0832
000735,24.2874,19.3437,4.9437,0.4049,0.2922,0.1126
000065,27.0271,23.0436,3.9835,0.7238,0.5279,0.1959
001861,30.1370,21.7118,8.4252,0.6188,0.2670,0.3518
003081,28.8935,22.9666,5.9269,0.7966,0.4523,0.3443
001639,22.6935,21.7177,0.9758,0.7748,0.7503,0.0245
001386,18.6971,17.6534,1.0437,0.7819,0.6981,0.0838
001724,27.7459,25.0715,2.6744,0.7684,0.6154,0.1531
001334,21.0940,19.3521,1.7418,0.3919,0.4352,-0.0434
002297,29.2641,25.6991,3.5650,0.8048,0.6442,0.1606
002550,30.1424,27.5804,2.5619,0.8978,0.8217,0.0760
002624,26.9780,20.7180,6.2600,0.4340,0.2164,0.2177
001070,23.7540,22.1978,1.5562,0.8015,0.7250,0.0765
002527,24.6160,20.2558,4.3602,0.7916,0.4773,0.3143
001986,32.1945,21.9263,10.2682,0.8132,0.2777,0.5355
002552,27.3030,24.1478,3.1553,0.7896,0.6423,0.1473
000428,27.7197,25.5905,2.1292,0.8766,0.8384,0.0382
001612,33.6852,21.5713,12.1139,0.8130,0.2831,0.5299
002834,23.7152,22.2416,1.4736,0.8063,0.7505,0.0558
001618,29.4039,22.4745,6.9294,0.7122,0.4571,0.2551
002266,26.3091,24.6019,1.7072,0.8953,0.7775,0.1177
002375,28.5702,23.4004,5.1698,0.8351,0.5226,0.3125
000020,31.4885,22.7290,8.7594,0.8250,0.3857,0.4393
002984,25.9809,19.9158,6.0651,0.7261,0.4302,0.2959
001088,25.5272,20.3269,5.2002,0.8521,0.5352,0.3169
000980,22.1304,21.4684,0.6620,0.6246,0.6253,-0.0007
002657,30.1351,27.3133,2.8218,0.8023,0.6303,0.1720
000172,27.2158,18.8260,8.3898,0.4994,0.1781,0.3213
002714,21.0068,19.5907,1.4161,0.2722,0.3686,-0.0964
003061,29.3157,20.5879,8.7278,0.8681,0.4409,0.4273
001875,21.9114,21.5083,0.4031,0.7345,0.7432,-0.0087
002460,36.7747,34.7463,2.0284,0.9195,0.8918,0.0277
001300,33.1511,22.2500,10.9011,0.8785,0.2968,0.5817
003140,26.6188,21.5062,5.1125,0.8272,0.6194,0.2078
000044,19.5137,18.8867,0.6270,0.7406,0.6756,0.0649
000778,22.2812,19.3579,2.9233,0.4472,0.3995,0.0477
000895,26.8379,20.8810,5.9569,0.7642,0.2734,0.4908
001174,30.3942,20.9509,9.4433,0.8706,0.3527,0.5179
001654,27.9442,22.3427,5.6015,0.6044,0.4486,0.1558
000864,19.5487,18.4676,1.0812,0.6899,0.6394,0.0505
000823,37.1246,35.2412,1.8834,0.9192,0.8929,0.0262
000397,25.1823,18.6411,6.5412,0.3285,0.1580,0.1705
000615,25.2299,24.4147,0.8152,0.7880,0.7512,0.0368
001170,27.4514,24.5203,2.9311,0.5827,0.5148,0.0680
002079,24.8147,23.1424,1.6723,0.8508,0.8170,0.0339
000682,27.9673,23.1472,4.8201,0.8808,0.6804,0.2004
